电站id,电站名称,货币单位,日期,预期收益,实际收益
208,科宁达站,CNY,2025-12-29,715.69,695.95
208,科宁达站,CNY,2025-12-28,715.69,700.67
208,科宁达站,CNY,2025-12-27,715.69,698.39
208,科宁达站,CNY,2025-12-26,715.69,698.22
208,科宁达站,CNY,2025-12-25,715.69,701.58
208,科宁达站,CNY,2025-12-24,715.69,698.79
208,科宁达站,CNY,2025-12-23,715.69,699.02
208,科宁达站,CNY,2025-12-22,715.69,677.16
208,科宁达站,CNY,2025-12-21,715.69,699.82
208,科宁达站,CNY,2025-12-20,715.69,697.15
208,科宁达站,CNY,2025-12-19,715.69,695.95
208,科宁达站,CNY,2025-12-18,715.69,698.74
208,科宁达站,CNY,2025-12-17,715.69,699.44
208,科宁达站,CNY,2025-12-16,715.69,696.52
208,科宁达站,CNY,2025-12-15,715.69,702.09
208,科宁达站,CNY,2025-12-14,715.69,700.24
208,科宁达站,CNY,2025-12-13,715.69,698.92
208,科宁达站,CNY,2025-12-12,715.69,699.95
208,科宁达站,CNY,2025-12-11,715.69,697.5
208,科宁达站,CNY,2025-12-10,715.69,695.09
208,科宁达站,CNY,2025-12-09,715.69,701.47
208,科宁达站,CNY,2025-12-08,715.69,696.64
208,科宁达站,CNY,2025-12-07,715.69,699.12
208,科宁达站,CNY,2025-12-06,715.69,696.64
208,科宁达站,CNY,2025-12-05,715.69,700.01
208,科宁达站,CNY,2025-12-04,715.69,699.19
208,科宁达站,CNY,2025-12-03,715.69,700.4
208,科宁达站,CNY,2025-12-02,715.69,696.23
208,科宁达站,CNY,2025-12-01,715.69,696.87
208,科宁达站,CNY,2025-11-30,630.75,578.47
208,科宁达站,CNY,2025-11-29,630.75,585.34
208,科宁达站,CNY,2025-11-28,630.75,584.95
208,科宁达站,CNY,2025-11-27,630.75,585.82
208,科宁达站,CNY,2025-11-26,630.75,584.74
208,科宁达站,CNY,2025-11-25,630.75,588.82
208,科宁达站,CNY,2025-11-24,630.75,581.97
208,科宁达站,CNY,2025-11-23,630.75,587.67
208,科宁达站,CNY,2025-11-22,630.75,582.46
208,科宁达站,CNY,2025-11-21,630.75,588.34
208,科宁达站,CNY,2025-11-20,630.75,582.39
208,科宁达站,CNY,2025-11-19,630.75,588.41
208,科宁达站,CNY,2025-11-18,630.75,588.34
208,科宁达站,CNY,2025-11-17,630.75,583.15
208,科宁达站,CNY,2025-11-16,630.75,586.54
