"告警发生日期","电站id","告警id","告警设备","告警名称","告警开始时间","告警结束时间"
"2025-12-25","283","f11e95af-795b-42f3-b5bb-3216fc5e2bcd","ems","4G模组挂载丢失","25/12/2025 01:02:04","25/12/2025 01:03:39"
"2025-12-25","253","6a09c9ad-b0c5-4379-a64d-7f86e81e1085","ems","4G模组挂载丢失","25/12/2025 02:53:16","25/12/2025 02:54:51"
"2025-12-25","253","09c51002-b559-4693-b072-d7713c328f02","ems","高压电表数据 udp 广播接收超时异常","25/12/2025 02:55:38","25/12/2025 02:56:54"
"2025-12-25","253","42d4c2ec-41de-46a3-a3c1-2e9cfc0fe732","ems","4G模组挂载丢失","25/12/2025 02:56:59","25/12/2025 02:58:34"
"2025-12-25","268","4dd9fc62-adde-4f3d-9a80-5723209b041b","ems","高压电表数据 udp 广播接收超时异常","25/12/2025 03:21:56","25/12/2025 03:23:13"
"2025-12-25","268","08da604c-537c-4519-9041-89d203a22097","lc","LC控制通信丢失","25/12/2025 03:23:11","25/12/2025 03:23:35"
"2025-12-25","268","19b4e7f1-4d70-4cb0-83a2-2ad790398ce6","lc","LC控制通信丢失","25/12/2025 03:23:11","25/12/2025 03:23:36"
"2025-12-25","268","a73b5efe-618f-4463-bd18-2c6fed6c9329","ems","4G模组挂载丢失","25/12/2025 03:23:19","25/12/2025 03:24:52"
"2025-12-25","268","f1c230ee-b322-434a-b9da-24b5e97a0b43","ems","4G模组挂载丢失","25/12/2025 03:24:44","25/12/2025 03:26:18"
"2025-12-25","233","3d5a32ca-bcfe-4009-bf41-fb426f4fad3a","ems","高压电表数据 udp 广播接收超时异常","25/12/2025 05:34:14","25/12/2025 05:35:31"
"2025-12-25","233","c6c73d46-5f4c-4f97-8b09-4685f568c18d","ems","4G模组挂载丢失","25/12/2025 05:35:59","25/12/2025 05:36:30"
"2025-12-25","233","89909006-1bbd-44a1-a5c6-0474e390ec07","ems","4G模组挂载丢失","25/12/2025 05:37:12","25/12/2025 05:38:49"
"2025-12-25","205","fbd8dccc-efe8-4889-bf1c-0c96363ba5e1","lc","LC控制通信丢失","25/12/2025 17:18:07","25/12/2025 17:18:42"
"2025-12-25","205","1b513a92-8db3-448f-9610-87269b25851a","lc","LC采集通讯丢失","25/12/2025 17:18:09","25/12/2025 17:18:44"
"2025-12-25","205","32b7743c-91b6-469f-8113-706f11206d95","lc","LC采集通讯丢失","25/12/2025 17:18:08","25/12/2025 17:18:37"
"2025-12-25","205","6376f4ba-0de3-4955-8b0c-0e195220e607","lc","LC采集通讯丢失","25/12/2025 17:18:09","25/12/2025 17:18:43"
"2025-12-25","205","efb3b4c3-b11f-47a8-9761-9aacb72ccdbc","lc","LC控制通信丢失","25/12/2025 17:18:10","25/12/2025 17:18:36"
"2025-12-25","205","45e8d9c9-1079-42d1-93ec-3fbe5a46c9ca","lc","LC控制通信丢失","25/12/2025 17:18:10","25/12/2025 17:18:38"
"2025-12-25","205","beff11ed-a911-4735-9067-18fa0234b474","lc","LC采集通讯丢失","25/12/2025 17:18:48","25/12/2025 17:18:51"
"2025-12-25","205","4e2a60b6-758a-426f-9df0-2c3a2fe7eddb","lc","LC采集通讯丢失","25/12/2025 21:58:55","25/12/2025 21:58:59"
"2025-12-26","287","48e16e00-774c-4998-8ea3-5109ba7c6b7b","ac","空调通讯丢失","26/12/2025 00:32:23","26/12/2025 00:51:21"
"2025-12-26","287","4b37cdf1-dd19-4b73-b4d9-7bd8e5259200","ac","空调通讯丢失","26/12/2025 00:51:58","26/12/2025 01:09:37"
"2025-12-26","287","a3c65757-2ced-46c8-99e1-457d0d60650e","lc","QF2（电池簇）反馈","26/12/2025 01:10:05","26/12/2025 01:11:07"
"2025-12-26","287","164357ed-bd02-46dd-9f51-dbb3c732e4f8","lc","QF1（电网）反馈","26/12/2025 01:10:05","26/12/2025 01:11:07"
"2025-12-26","287","696feeb4-1df6-46d4-aafe-3fd2c51b060a","lc","LC控制通信丢失","26/12/2025 01:10:17","26/12/2025 01:10:25"
"2025-12-26","287","7a64375d-7772-4e6e-b840-22370663e69d","lc","LC控制通信丢失","26/12/2025 01:10:17","26/12/2025 01:11:32"
"2025-12-26","287","9cc750d7-3a44-4b7d-9c87-37ad7812fbbf","lc","LC控制通信丢失","26/12/2025 01:10:34","26/12/2025 01:10:38"
"2025-12-26","287","29460019-80ed-4359-a978-ff625ca72506","lc","LC控制通信丢失","26/12/2025 01:10:34","26/12/2025 01:10:39"
"2025-12-26","287","f18e576d-ab0c-402b-9fef-7e1305923797","lc","LC控制通信丢失","26/12/2025 01:10:34","26/12/2025 01:10:40"
"2025-12-26","287","4bf4b15a-616a-4255-b266-0bfe6dbdf3d3","pcs","PCS通讯丢失","26/12/2025 01:11:09","26/12/2025 01:11:10"
"2025-12-26","287","d6cd7f68-ff7d-4cc4-a38c-252be4c72316","pcs","DSP参数设置不匹配","26/12/2025 01:11:10","26/12/2025 01:11:40"
"2025-12-26","287","cc9601f8-8c3b-4b33-b54a-f7331893966c","ac","空调通讯丢失","26/12/2025 01:12:18","26/12/2025 01:28:31"
"2025-12-26","287","3e0d146f-de3e-41ec-a424-6940bc78d4c3","pcs","辅助电源故障1","26/12/2025 01:26:23","26/12/2025 01:28:31"
"2025-12-26","287","a0d21abc-555c-426b-b79a-a89d66bd102c","lc","QF1（电网）反馈","26/12/2025 01:26:23","26/12/2025 01:28:31"
"2025-12-26","287","df87133c-137e-469e-ba5d-7311f9dc840b","pcs","交流母线欠频","26/12/2025 01:26:24","26/12/2025 01:28:31"
"2025-12-26","287","576061cb-d5b8-448e-9da2-d7a914859db8","pcs","交流母线欠压","26/12/2025 01:26:24","26/12/2025 01:28:31"
"2025-12-26","287","bff33cff-f72f-4f08-89df-5d2192ad1852","lc","QF2（电池簇）反馈","26/12/2025 01:26:24","26/12/2025 01:28:31"
"2025-12-26","287","a510d4ee-977d-435e-937b-97229b471d98","lc","LC控制通信丢失","26/12/2025 01:26:36","26/12/2025 01:32:41"
"2025-12-26","287","005036bc-8284-4b7f-ba4d-2b27741a2a90","lc","LC控制通信丢失","26/12/2025 01:26:36","26/12/2025 01:28:34"
"2025-12-26","287","259ab97a-2851-4f24-a1e2-27ebe4fe8111","lc","LC控制通信丢失","26/12/2025 01:28:05","26/12/2025 01:28:09"
"2025-12-26","287","0e24b118-4a5f-46b6-8288-b25225a39c7e","pcs","PCS通讯丢失","26/12/2025 01:28:34","26/12/2025 01:28:40"
"2025-12-26","287","a82a7966-2b2e-4348-818f-5bdc0eb11fd2","pcs","DSP参数设置不匹配","26/12/2025 01:28:37","26/12/2025 01:29:08"
"2025-12-26","287","af2ed8af-69bd-4f7c-83cc-26d289743651","pcs","直流输入欠压","26/12/2025 01:30:40","26/12/2025 01:33:38"
"2025-12-26","287","4985ec68-dc05-483d-afe4-74c06b5e28a9","pcs","辅助电源故障1","26/12/2025 01:30:40","26/12/2025 01:33:38"
"2025-12-26","287","c040d03f-e606-4d08-9ea1-f2e6fcb6f42f","lc","QF2（电池簇）反馈","26/12/2025 01:30:39","26/12/2025 01:33:38"
"2025-12-26","287","2cebda07-70a0-479d-9396-28aa735cff9a","pcs","交流母线欠频","26/12/2025 01:30:41","26/12/2025 01:33:38"
"2025-12-26","287","03163fb9-b22e-4269-a1a1-30aac7822aac","pcs","交流母线欠压","26/12/2025 01:30:41","26/12/2025 01:33:38"
"2025-12-26","287","e90d652f-753a-4a93-b373-9040913c9b43","lc","QF1（电网）反馈","26/12/2025 01:30:40","26/12/2025 01:33:38"
"2025-12-26","287","4609ff4e-8c80-4b2f-a114-ec04f1758ba3","lc","LC控制通信丢失","26/12/2025 01:30:51","26/12/2025 01:33:40"
"2025-12-26","287","20bf8cc7-7e59-42d1-910e-ca7ebfbc42c1","lc","LC控制通信丢失","26/12/2025 01:33:08","26/12/2025 01:34:32"
"2025-12-26","287","f8583b6c-f3f6-4ad2-ada0-7847cdc94fd3","lc","LC控制通信丢失","26/12/2025 01:33:08","26/12/2025 01:34:31"
"2025-12-26","287","383bf868-351b-44ea-b1f4-2bf756204872","lc","LC控制通信丢失","26/12/2025 01:33:11","26/12/2025 01:33:15"
"2025-12-26","287","5d909da9-d2b8-445a-a9f5-a0d1cc735d9a","pcs","PCS通讯丢失","26/12/2025 01:33:40","26/12/2025 01:33:45"
